Title,Given Work,Given Earliest Start,Resources
Branding Milestone,0 days,15 Jul 2024,NN
Design,2 days,15 Jul 2024,NN
Logo Design,2 days,17 Jul 2024,NN
Branding,1 day,19 Jul 2024,NN
Frontend Development,3 days,20 Jul 2024,NA
i18n Frontend,1 day,23 Jul 2024,NA
Design System,2 days,24 Jul 2024,NA
Frontend Integration,2 days,26 Jul 2024,NA
Backend Development,3 days,28 Jul 2024,NA
i18n Backend,1 day,31 Jul 2024,NA
Subscription Service,1 day,15 Jul 2024,NA
Login Auth,1 day,16 Jul 2024,NA
Search Service,2 days,17 Jul 2024,NA
Backend Integration,3 days,19 Jul 2024,NA
DevOps Staging,2 days,22 Jul 2024,NA
DevOps Production,2 days,24 Jul 2024,NA
Testing,2 days,26 Jul 2024,NA
Dev Project Management,2 days,28 Jul 2024,NA
Sale,2 days,30 Jul 2024,NN
Content Strategy,2 days,25 Jul 2024,NN
Risks,2 days,27 Jul 2024,NN
Launch,0 days,31 Jul 2024,NN
